sample_id	assembly_group	fq1	fq2	mapping_tool
S_144	spaS144	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_144_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_144_R2.fastq.gz	bowtie2
S_178	spaS144	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_178_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_178_R2.fastq.gz	bowtie2
S_194	spaS144	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_194_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_194_R2.fastq.gz	bowtie2
S_9	spaS144	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_9_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_9_R2.fastq.gz	bowtie2
S_265	spaS144	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_265_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_265_R2.fastq.gz	bowtie2
S_276	spaS276	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_276_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_276_R2.fastq.gz	bowtie2
S_265	spaS276	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_265_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_265_R2.fastq.gz	strobealign
S_133	spaS276	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_133_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_133_R2.fastq.gz	strobealign
S_86	spaS276	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_86_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_86_R2.fastq.gz	strobealign
S_135	spaS135	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_135_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_135_R2.fastq.gz	bowtie2
S_119	spaS135	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_119_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_119_R2.fastq.gz	strobealign
S_213	spaS135	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_213_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_213_R2.fastq.gz	strobealign
S_280	spaS135	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_280_R1.fastq.gz	/projects/hansen_ol-AUDIT/scratch/NILU/metagenomes/binning_smk/toy/reads/S_280_R2.fastq.gz	strobealign
